title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
زندگی من به عنوان یک کدو,50,18,9.8,زندگی من به عنوان یک کدو,"انیمیشن,درام,طنز",سوئیس ، فرانسه,1395,7.8,0,0,0,NULL,1
زندگی من به عنوان یک کدو,50,18,9.8,زندگی من به عنوان یک کدو,"انیمیشن,درام,طنز",سوئیس ، فرانسه,1395,7.8,0,0,0,NULL,1
زندگی من به عنوان یک کدو,50,18,9.8,زندگی من به عنوان یک کدو,"انیمیشن,درام,طنز",سوئیس ، فرانسه,1395,7.8,0,0,0,NULL,1
زندگی من به عنوان یک کدو,50,18,9.8,زندگی من به عنوان یک کدو,"انیمیشن,درام,طنز",سوئیس ، فرانسه,1395,7.8,0,0,0,NULL,1
زندگی من به عنوان یک کدو,50,18,9.8,زندگی من به عنوان یک کدو,"انیمیشن,درام,طنز",سوئیس ، فرانسه,1395,7.8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زوتوپیا,113,62,42.68,زوتوپیا,"انیمیشن,جنایی,خانوادگی,رازآلود ,طنز,ماجراجویی",آمریکا,1394,8,0,0,0,NULL,1
زودیاک,2,2,0.55,زودیاک,"تاریخی,جنایی,درام",آمریکا,1385,7.7,0,0,0,NULL,1
زودیاک,2,2,0.55,زودیاک,"تاریخی,جنایی,درام",آمریکا,1385,7.7,0,0,0,NULL,1
زودیاک,2,2,0.55,زودیاک,"تاریخی,جنایی,درام",آمریکا,1385,7.7,0,0,0,NULL,1
زودیاک,2,2,0.55,زودیاک,"تاریخی,جنایی,درام",آمریکا,1385,7.7,0,0,0,NULL,1
زودیاک,2,2,0.55,زودیاک,"تاریخی,جنایی,درام",آمریکا,1385,7.7,0,0,0,NULL,1
زورو: بازگشت به آینده,126,61,37.58,زورو: بازگشت به آینده,ماجراجویی،انیمیشن، اکشن,آمریکا,1386,4.2,0,0,0,NULL,1
ماجرای جکی چان قسمت 1,21,17,10.37,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,1,1,1,NULL
ماجرای جکی چان قسمت 3,16,10,6.12,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,3,1,1,NULL
ماجرای جکی چان قسمت 4,13,6,2.42,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,4,1,1,NULL
ماجرای جکی چان قسمت 5,14,7,3.68,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,5,1,1,NULL
ماجرای جکی چان قسمت 6,11,7,2.25,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,6,1,1,NULL
ماجرای جکی چان قسمت 7,21,14,4.41,"ماجرای جکی چان ",انیمیشن,هنگ کنگ,1383,7.4,7,7,1,1,NULL
ماجرای خرس های شجاع,12,8,4.71,ماجرای خرس های شجاع,انیمیشن،کودکان,آمریکا,1388,0,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"خانوادگی,درام",ایران,1368,8.6,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"خانوادگی,درام",ایران,1368,8.6,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"خانوادگی,درام",ایران,1368,8.6,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"خانوادگی,درام",ایران,1368,8.6,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"خانوادگی,درام",ایران,1368,8.6,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"درام,فیلم کوتاه",ایران,1395,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"درام,فیلم کوتاه",ایران,1395,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"درام,فیلم کوتاه",ایران,1395,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"درام,فیلم کوتاه",ایران,1368,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"انیمیشن,درام",ایران,1396,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"انیمیشن,درام",ایران,1396,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"انیمیشن,درام",ایران,1396,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"انیمیشن,درام",ایران,1396,NULL,0,0,0,NULL,1
مادر,261,130,86.04,مادر,"انیمیشن,درام",ایران,1396,NULL,0,0,0,NULL,1
مارنی,17,6,4.18,مارنی,اکشن،هیجان انگیز,آمریکا,1343,7.2,0,0,0,NULL,1
ماشین 3,84,33,17.62,ماشین 3,NULL,آمریکا,1396,6.9,0,0,0,NULL,1
ماشین جنگی,33,22,16.68,ماشین جنگی,درام،کمدی,آمریکا,1396,6,0,0,0,NULL,1
ماشین ها 2,54,31,16.48,ماشین ها 2,کودک,آمریکا,1390,6.2,0,0,0,NULL,1
ماشین ها 2,54,31,16.48,ماشین ها 2,NULL,آمریکا,1390,6.2,0,0,0,NULL,1
ماشین های کوچک,145,107,26.2,ماشین های کوچک,NULL,آمریکا,1385,0,0,0,0,NULL,1
ماشیناسورها 1 قسمت 1,241,169,57.4,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,1,1,1,NULL
ماشیناسورها 1 قسمت 10,84,54,16.26,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,10,1,1,NULL
ماشیناسورها 1 قسمت 2,105,72,20.42,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,2,1,1,NULL
ماشیناسورها 1 قسمت 3,65,48,13.59,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,3,1,1,NULL
ماشیناسورها 1 قسمت 4,59,39,16.02,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,4,1,1,NULL
ماشیناسورها 1 قسمت 5,61,41,12.42,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,5,1,1,NULL
ماشیناسورها 1 قسمت 6,52,34,14.65,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,6,1,1,NULL
ماشیناسورها 1 قسمت 7,47,32,18.43,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,7,1,1,NULL
ماشیناسورها 1 قسمت 8,41,28,14.35,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,8,1,1,NULL
ماشیناسورها 1 قسمت 9,39,28,10.3,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,9,1,1,NULL
ماشیناسورها 2 قسمت 1,9,8,2.58,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,1,1,1,NULL
ماشیناسورها 2 قسمت 10,5,5,1.69,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,10,1,1,NULL
ماشیناسورها 2 قسمت 2,11,6,2.54,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,2,1,1,NULL
ماشیناسورها 2 قسمت 3,4,4,1.17,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,3,1,1,NULL
ماشیناسورها 2 قسمت 4,10,3,1.25,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,4,1,1,NULL
ماشیناسورها 2 قسمت 5,3,3,1.12,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,5,1,1,NULL
ماشیناسورها 2 قسمت 6,9,6,3.14,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,6,1,1,NULL
ماشیناسورها 2 قسمت 7,3,2,0.48,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,7,1,1,NULL
