title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
بزنگاه قسمت 8,65,25,21,"بزنگاه ",کمدی,ایران,1386,0,25,8,1,1,NULL
بزنگاه قسمت 9,57,27,20.21,"بزنگاه ",کمدی,ایران,1386,0,25,9,1,1,NULL
بعضی کارهایی که مولکول ها انجام می دهند,1,1,0.73,بعضی کارهایی که مولکول ها انجام می دهند,مستند,آمریکا,1393,9.3,0,0,0,NULL,1
بلکککلنزمن,40,13,9.49,بلکککلنزمن,"جنایی,درام,زندگینامه",NULL,NULL,NULL,0,0,0,NULL,1
بلوف,223,129,73.68,بلوف,NULL,ایران,1393,0,0,0,0,NULL,1
بلوف,223,129,73.68,بلوف,NULL,ایران,1393,0,0,0,0,NULL,1
بلوک 16,4,3,3.22,بلوک 16,اکشن، جنایی، درام,آمریکا,1385,6.6,0,0,0,NULL,1
بلوک 9 خروجی 2,10,4,2.85,بلوک 9 خروجی 2,خانوادگی,ایران,1390,0,0,0,0,NULL,1
بلوک 9 خروجی 2,10,4,2.85,بلوک 9 خروجی 2,خانوادگی,ایران,1390,0,0,0,0,NULL,1
بلوک 9 خروجی 2,10,4,2.85,بلوک 9 خروجی 2,خانوادگی,ایران,1390,0,0,0,0,NULL,1
بلوک 9 خروجی 2,10,4,2.85,بلوک 9 خروجی 2,خانوادگی,ایران,1390,0,0,0,0,NULL,1
